,element_type,osmid,name,public_transport,geometry,lat,lon,icona
3210,node,9975325597,Via L. Il Moro P.le Negrelli,platform,POINT (9.1410503 45.444462),45.444462,9.1410503,
3211,node,9975325598,Via L. Il Moro P.le Negrelli,stop_position,POINT (9.1409948 45.4445034),45.4445034,9.1409948,
3212,node,9975993052,Ponte Guido Crepax,platform,POINT (9.157677 45.4480989),45.4480989,9.157677,
3213,node,9975994968,Via L. il Moro Cavalcavia Don Milani,stop_position,POINT (9.1458592 45.4455272),45.4455272,9.1458592,
3214,node,9975994970,Via L. il Moro Cavalcavia Don Milani,stop_position,POINT (9.1471136 45.4457878),45.4457878,9.1471136,
3215,node,9979439479,Via L. il Moro Via Merula,stop_position,POINT (9.1303313 45.4412867),45.4412867,9.1303313,
3216,node,9979439490,Via L. il Moro Via S.Colombano,platform,POINT (9.1268823 45.4398076),45.4398076,9.1268823,
3217,node,9979439491,Via L. il Moro Via S.Colombano,stop_position,POINT (9.1269601 45.4397836),45.4397836,9.1269601,
3218,node,9979439492,Via L. il Moro Via S.Colombano,stop_position,POINT (9.1253784 45.4387656),45.4387656,9.1253784,
3219,node,9979453966,Via L. il Moro Via Santi,platform,POINT (9.1237544 45.4381789),45.4381789,9.1237544,
3220,node,9979453967,Via L. il Moro Via Santi,stop_position,POINT (9.1237103 45.4382231),45.4382231,9.1237103,
3221,node,9979453968,Via L. il Moro Via Santi,platform,POINT (9.1216539 45.4376961),45.4376961,9.1216539,
3222,node,9979453969,Via L. il Moro Via Santi,stop_position,POINT (9.1217065 45.4376581),45.4376581,9.1217065,
3223,node,9981700356,P.le Cantore,stop_position,POINT (9.1727616 45.4560327),45.4560327,9.1727616,
3224,node,9981813981,P.le Negrelli,stop_position,POINT (9.1391523 45.4436961),45.4436961,9.1391523,
3225,node,9982035978,Porta Genova M2,stop_position,POINT (9.1699902 45.4525377),45.4525377,9.1699902,
3226,node,9982857991,Romolo FS M2,stop_position,POINT (9.1677364 45.4434295),45.4434295,9.1677364,
3227,node,9982923367,Ponte Guido Crepax,stop_position,POINT (9.1576779 45.4480625),45.4480625,9.1576779,
