,name,geometry,lat,lon
238,,"POLYGON ((9.1257592 45.4476328, 9.1263043 45.4477638, 9.1266594 45.4470613, 9.1261446 45.4469124, 9.1258162 45.4475248, 9.1257592 45.4476328))",9.1257592,45.4476328
239,,"POLYGON ((9.2484206 45.5045448, 9.2492898 45.5052376, 9.2492621 45.5052547, 9.2490753 45.5053698, 9.2489129 45.5054698, 9.2488781 45.5054913, 9.2480089 45.5047985, 9.2484206 45.5045448))",9.2484206,45.5045448
240,Crescenzago Linea MM2,"POLYGON ((9.2468241 45.5039507, 9.2475847 45.5045241, 9.2478413 45.5043659, 9.2479522 45.5044648, 9.2482344 45.5042908, 9.2483175 45.5042437, 9.2483543 45.5042833, 9.2490739 45.5038363, 9.2483219 45.5032217, 9.248085 45.5033646, 9.2477747 45.5033566, 9.2468241 45.5039507))",9.2468241,45.5039507
241,,"POLYGON ((9.1955869 45.4892839, 9.19568 45.4894033, 9.19576 45.4895061, 9.1957735 45.4895234, 9.195648 45.489566, 9.1956332 45.4896, 9.1952671 45.489534, 9.1952078 45.4894288, 9.1955869 45.4892839))",9.1955869,45.4892839
242,,"POLYGON ((9.254166 45.5092437, 9.2540639 45.5093204, 9.2543712 45.5095213, 9.2544733 45.5094446, 9.254166 45.5092437))",9.254166,45.5092437
243,ATM Cascina Gobba MM2,"POLYGON ((9.2597686 45.5097971, 9.2614084 45.5100518, 9.2614704 45.5097412, 9.2614704 45.5093374, 9.2613109 45.5088156, 9.261045 45.5085361, 9.2599813 45.5088219, 9.2596623 45.5090393, 9.2596091 45.5092256, 9.2597332 45.5094554, 9.2598041 45.5096418, 9.2597686 45.5097971))",9.2597686,45.5097971
244,ATM Cascina Gobba MM2,"POLYGON ((9.2596888 45.5099337, 9.2595554 45.5104558, 9.2595257 45.5105706, 9.2595206 45.5106318, 9.2596091 45.5106791, 9.2606068 45.5108252, 9.2607968 45.510853, 9.2608634 45.5108317, 9.2609739 45.5105903, 9.2611429 45.5101611, 9.2596888 45.5099337))",9.2596888,45.5099337
245,,"POLYGON ((9.0952118 45.5055163, 9.0951863 45.5054955, 9.0951525 45.5054815, 9.0951141 45.5054759, 9.0950752 45.5054794, 9.09504 45.5054914, 9.0950122 45.5055107, 9.0949947 45.5055353, 9.0949895 45.5055625, 9.0949729 45.5055659, 9.0949041 45.5055915, 9.0948923 45.5055827, 9.0947238 45.5056177, 9.0951043 45.5065169, 9.0951254 45.5065544, 9.0953861 45.5064999, 9.0954133 45.5065196, 9.0954478 45.5065326, 9.0954863 45.5065375, 9.0955251 45.5065338, 9.0955604 45.506522, 9.0955888 45.5065031, 9.0956075 45.506479, 9.0956148 45.5064521, 9.0958628 45.5064002, 9.0954657 45.5054635, 9.0952118 45.5055163))",9.0952118,45.5055163
246,,"POLYGON ((9.1926735 45.5253014, 9.1928686 45.5253358, 9.1933622 45.5254169, 9.1933028 45.5258132, 9.1926856 45.5257806, 9.1926735 45.5253014))",9.1926735,45.5253014
247,,"POLYGON ((9.2352177 45.4506551, 9.2358605 45.4506681, 9.2360958 45.4537313, 9.2354793 45.4537706, 9.2352177 45.4506551))",9.2352177,45.4506551
248,,"POLYGON ((9.2427705 45.458779, 9.2431785 45.4584811, 9.2435821 45.4587531, 9.2431742 45.459051, 9.2428867 45.4588573, 9.2427705 45.458779))",9.2427705,45.458779
